Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Legendary
,,,,,,,
,,,,T,T,,
T,T,T,T,T,T,T,
T,T,T,T,T,T,T,
,,,,,,,
,,,,T,,T,
T,T,T,T,T,T,T,
T,T,T,T,T,T,T,
T,T,T,T,T,T,T,
,,,,,,,
,,,T,,T,,
T,T,T,T,T,T,T,
T,T,T,T,T,T,T,
,,,,,,,
,,,,,,,
,,,,T,T,T,
,,,,,,,
,,,,,,,
,,T,,,T,T,
T,,T,,,T,T,
,,,,,,,
,,,,,,T,
T,T,T,T,,,T,
T,T,T,T,T,T,T,
,,,,,,T,
,,T,,,,T,
,,,,,,T,
T,,T,,,,T,
,,,,,,,
T,,T,,,T,T,
,,,,,,T,
T,,T,,T,T,T,
,,,T,,,,
T,T,T,T,,,,
,,,,,,,
,T,,,,,,
T,T,T,T,T,T,T,
,,,,,,,
,,,,,,,
T,T,T,T,T,T,T,
,T,,,,,,
T,T,,,T,T,,
,,,,,,,
T,T,,T,T,T,T,
,T,,,,,,
,T,,,T,,,
,,,,,,,
T,T,T,,,T,T,
,,,,T,,,
,,,,T,T,,
T,T,T,T,T,T,,
,,,,,,,
,,T,T,,T,,
,,,,,,,
T,T,,,T,T,T,
,,,,,,T,
,,T,,,,T,
,,,,,,T,
T,,,,,,T,
,,,,,,,
T,T,T,T,T,T,T,
,,T,,,,T,
T,,T,,,,T,
,,,,,,,
T,T,T,T,T,T,T,
,,,,,,T,
,,,,,,T,
T,T,T,T,,T,T,
,,,,T,,T,
,,,,T,,T,
T,,,,T,T,T,
T,,,,T,T,T,
,T,T,,,,,
,T,T,,,,,
T,T,T,T,,T,,
,,,,,,,
,,T,,T,,,
T,T,T,,T,,T,
,,,,,T,T,
T,T,,,T,T,T,
,,T,T,,,,
,,T,T,,,,
T,T,T,T,,,,
,,T,,,,T,
T,,T,,T,T,T,
,T,,,,,,
T,T,,T,T,T,,
T,T,,T,T,T,,
,,,,T,,,
T,,,T,T,,T,
,,,,,,,
,,T,,,,T,
T,,T,,,,T,
,,,,,,,
T,T,,T,,T,T,
,T,T,,,,,
T,T,T,T,,T,,
,,,T,,,,
T,,T,T,T,,T,
,,,,T,,T,
,,,,T,,T,
T,,,,T,T,T,
T,,,T,T,T,T,
,,,T,,,T,
,,,,,T,,
T,T,,,T,T,,
,,T,T,,,,
T,,T,T,,,T,
,,,,,,T,
T,,,,T,T,T,
,,,T,,,,
T,T,T,T,T,,,
,,,T,,,,
,,T,T,,T,,
T,,T,,,T,T,
T,,T,T,,T,T,
,T,,T,,T,,
,,,T,,,,
T,,T,T,T,,,
,T,T,T,,,,
T,T,T,T,,,,
T,T,,,,T,,
,,,T,T,,,
T,T,T,T,,T,T,
T,T,T,T,,T,T,
,,,,,,,
T,,,T,T,,T,
,,,,,,,
T,T,T,,,T,T,
,,,,,,T,
T,,,T,T,T,T,
T,,,,T,T,T,
T,T,T,T,,T,T,
T,,,,T,T,T,
T,,T,,T,T,T,
T,,T,,T,T,T,
T,,T,T,,,T,
T,,T,T,,T,T,
T,T,T,T,,,T,
,,,,,,T,
T,T,T,T,,T,T,
T,T,T,T,,T,T,
T,T,T,T,T,T,,
,,,,,,,
,,,,,,,
T,T,,,T,T,,
T,,,,T,T,T,
T,,T,,T,T,,
,,,,T,T,,
,,,T,T,,,
T,T,,T,T,,,
,,T,T,,,,
T,,T,T,,,T,
T,T,T,,,T,T,
T,T,T,T,,T,T,
T,T,T,,,T,,
T,T,T,T,T,T,T,T
T,T,T,T,T,T,T,T
T,T,T,T,T,T,T,T
,,,,,,,
,,T,,,,T,
T,T,T,T,T,T,T,
T,T,T,T,T,T,T,T
T,T,T,T,T,T,T,T
T,T,T,,T,T,T,T
T,T,T,T,T,T,T,
,,,,,,,
,,,T,,T,,
T,T,T,T,T,T,T,
,,,,,,,
,,,,T,,T,
T,T,T,T,T,T,T,
,,,,,,,
,,T,T,,,,
T,T,T,T,T,T,T,
,,,,,,,
,T,,,,,T,
,,,,,,,
T,T,,,T,T,T,
,,,,,T,,
,,,,,T,T,
,,,,,,,
,T,T,,,,,
T,T,T,T,,T,T,
,T,,,,,,
T,T,,,T,T,,
,,,,,,,
,,,,,,,
,T,,,,,,
,,,,,,,
,,,T,T,T,,
,,,,,,T,
T,,,,T,,T,
,,,,,,,
,T,,,T,,,
T,T,,T,T,T,,
T,T,T,T,T,T,,
T,T,T,T,T,T,,
,T,,,,,,
,T,,T,,T,,
,T,T,T,,,,
T,T,,T,T,T,T,
,,,,,,,
,,,,,,T,
T,T,,,,T,T,
,,,,,,T,
,,,,,,,
,T,,,T,T,,
,,,,T,,T,
,,,,,,,
,T,T,T,,,,
T,,,,T,T,T,
T,T,,T,,T,,
,,T,,T,,T,
T,T,,T,T,T,,
,,,,T,T,T,
,,,,,,,
